Depth,Qc,Fs,u
3.58,2.373,0.016,-0.0792
3.6,3.207,0.024,-0.079
3.62,3.968,0.023,-0.079
3.64,3.968,0.023,-0.079
3.66,5.545,0.027,-0.0793
3.68,6.133,0.025,-0.0791
3.7,6.68,0.019,-0.0789
3.72,7.543,0.017,-0.0789
3.74,8.0,0.017,-0.0784
3.76,8.552,0.018,-0.0782
3.78,9.306,0.022,-0.0776
3.8,10.129,0.03,-0.077
3.82,10.773,0.033,-0.0766
3.84,11.09,0.036,-0.0763
3.86,11.176,0.039,-0.0761
3.88,11.212,0.041,-0.0757
3.9,11.223,0.043,-0.0754
3.92,11.51,0.046,-0.0749
3.94,12.003,0.049,-0.0745
3.96,12.539,0.052,-0.0739
3.98,12.841,0.051,-0.0737
4.0,12.989,0.05,-0.0734
4.02,13.219,0.051,-0.0731
4.04,13.561,0.055,-0.0727
4.06,14.294,0.059,-0.0726
4.08,14.611,0.063,-0.0723
4.1,14.794,0.067,-0.0719
4.12,14.956,0.07,-0.0715
4.14,15.089,0.072,-0.0713
4.16,15.107,0.074,-0.0709
4.18,15.093,0.076,-0.0705
4.2,15.143,0.081,-0.0699
4.22,15.204,0.083,-0.0695
4.24,15.204,0.079,-0.0564
4.26,15.204,0.076,-0.0554
4.28,14.841,0.076,-0.0544
4.3,15.316,0.076,-0.0537
4.32,15.726,0.075,-0.053
4.34,16.128,0.073,-0.0515
4.36,16.819,0.071,-0.0508
4.38,17.06,0.071,-0.0498
4.4,17.261,0.072,-0.0493
4.42,17.395,0.073,-0.0485
4.44,17.513,0.078,-0.0468
4.46,17.603,0.081,-0.0459
4.48,17.747,0.083,-0.0449
4.5,18.376,0.084,-0.0439
4.52,18.873,0.086,-0.0429
4.54,19.473,0.085,-0.0421
4.56,19.883,0.086,-0.04
4.58,20.211,0.087,-0.039
4.6,20.337,0.088,-0.0378
4.62,20.391,0.092,-0.0366
4.64,20.567,0.094,-0.0356
4.66,21.02,0.1,-0.035
4.68,21.833,0.108,-0.0342
4.7,23.304,0.108,-0.0339
4.72,24.469,0.101,-0.0334
4.74,25.243,0.094,-0.0306
4.76,25.315,0.083,-0.0276
4.78,26.073,0.072,-0.0302
4.8,25.836,0.063,-0.0397
4.82,26.972,0.058,-0.0505
4.84,25.501,0.055,-0.0459
4.86,25.221,0.068,-0.044
4.88,25.599,0.063,-0.0424
4.9,26.153,0.062,-0.0409
4.92,26.634,0.053,-0.0413
4.94,26.598,0.069,-0.044
4.96,26.124,0.069,-0.0483
4.98,25.973,0.073,-0.0502
5.0,24.779,0.059,-0.0511
5.02,25.958,0.051,-0.0527
5.04,26.232,0.042,-0.0547
5.06,26.563,0.046,-0.0561
5.08,26.268,0.082,-0.0557
5.1,25.48,0.058,-0.0556
5.12,24.771,0.063,-0.0544
5.14,24.081,0.061,-0.0524
5.16,23.297,0.067,-0.0522
5.18,23.088,0.073,-0.052
5.2,22.926,0.075,-0.0518
5.22,23.24,0.091,-0.0509
5.24,23.24,0.067,-0.0397
5.26,23.24,0.059,-0.0394
5.28,23.476,0.048,-0.0386
5.3,23.574,0.041,-0.0383
5.32,23.077,0.043,-0.0379
5.34,23.146,0.039,-0.0389
5.36,22.732,0.034,-0.039
5.38,22.707,0.033,-0.0403
5.4,22.804,0.037,-0.0407
5.42,22.628,0.042,-0.0407
5.44,21.707,0.04,-0.0413
5.46,21.207,0.039,-0.0413
5.48,21.045,0.046,-0.0413
5.5,19.175,0.115,-0.0405
5.52,18.801,0.064,-0.0399
5.54,19.175,0.062,-0.0394
5.56,20.096,0.063,-0.0389
5.58,20.48,0.056,-0.0383
5.6,21.563,0.073,-0.0372
5.62,23.203,0.075,-0.0367
5.64,24.861,0.069,-0.0351
5.66,26.843,0.073,-0.0347
5.68,27.627,0.075,-0.0342
5.7,27.368,0.079,-0.0337
5.72,27.052,0.07,-0.0337
5.74,26.131,0.054,-0.0329
5.76,25.599,0.031,-0.0339
5.78,24.703,0.028,-0.0327
5.8,23.07,0.035,-0.0336
5.82,21.804,0.041,-0.0343
5.84,21.06,0.037,-0.034
5.86,20.128,0.038,-0.0334
5.88,19.617,0.039,-0.0338
5.9,19.758,0.043,-0.0346
5.92,19.837,0.049,-0.0344
5.94,21.876,0.047,-0.0341
5.96,22.121,0.052,-0.0337
5.98,21.768,0.056,-0.0338
6.0,21.164,0.049,-0.0337
6.02,19.847,0.047,-0.0333
6.04,19.304,0.05,-0.0327
6.06,18.905,0.047,-0.0318
6.08,18.33,0.047,-0.0313
6.1,18.161,0.046,-0.0311
6.12,18.118,0.056,-0.0297
6.14,18.279,0.06,-0.0291
6.16,18.362,0.071,-0.0283
6.18,18.402,0.081,-0.0269
6.2,18.581,0.085,-0.0264
6.22,18.539,0.087,-0.026
6.24,18.539,0.105,-0.0135
6.26,18.539,0.1,-0.012
6.28,18.981,0.101,-0.0107
6.3,18.671,0.103,-0.0102
6.32,18.24,0.096,-0.0096
6.34,17.963,0.093,-0.0088
6.36,17.718,0.093,-0.0084
6.38,17.441,0.093,-0.0065
6.4,17.247,0.098,-0.006
6.42,16.966,0.09,-0.0052
6.44,16.851,0.085,-0.0046
6.46,16.661,0.087,-0.0031
6.48,16.679,0.093,-0.0024
6.5,16.776,0.098,-0.0018
6.52,16.913,0.104,-0.0007
6.54,16.938,0.101,0.0002
6.56,16.733,0.1,0.001
6.58,16.456,0.105,0.0021
6.6,16.146,0.107,0.0028
6.62,15.862,0.107,0.0033
6.64,15.812,0.108,0.0041
6.66,16.204,0.104,0.005
6.68,16.477,0.111,0.0061
6.7,16.74,0.102,0.0071
6.72,17.125,0.093,0.0087
6.74,17.38,0.09,0.0098
6.76,17.693,0.093,0.0108
6.78,17.513,0.093,0.011
6.8,17.369,0.094,0.0117
6.82,17.236,0.097,0.0127
6.84,17.247,0.101,0.0137
6.86,17.524,0.102,0.0161
6.88,17.675,0.099,0.0171
6.9,17.909,0.096,0.0179
6.92,17.884,0.097,0.0186
6.94,17.65,0.101,0.0194
6.96,17.499,0.105,0.0201
6.98,17.528,0.107,0.0209
7.0,17.603,0.108,0.0225
7.02,17.618,0.111,0.0235
7.04,17.65,0.111,0.0242
7.06,18.182,0.108,0.0245
7.08,18.207,0.105,0.0255
7.1,18.092,0.101,0.027
7.12,17.823,0.103,0.0278
7.14,17.682,0.107,0.0288
7.16,17.815,0.106,0.0294
7.18,18.283,0.102,0.0307
7.2,18.589,0.1,0.0319
7.22,17.608,0.102,0.0323
7.24,17.608,0.102,0.0331
7.26,17.608,0.102,0.0377
7.28,17.233,0.097,0.0398
7.3,16.819,0.101,0.0409
7.32,16.909,0.102,0.0425
7.34,17.179,0.103,0.044
7.36,18.355,0.1,0.0449
7.38,19.65,0.099,0.0447
7.4,20.995,0.097,0.0452
7.42,22.653,0.091,0.0436
7.44,22.649,0.072,0.0297
7.46,22.25,0.066,0.0111
7.48,21.617,0.053,0.0004
7.5,19.815,0.044,-0.0032
7.52,19.071,0.039,-0.005
7.54,18.704,0.041,-0.0076
7.56,18.625,0.032,-0.0069
7.58,17.999,0.054,-0.0078
7.6,18.002,0.047,-0.0064
7.62,17.628,0.051,-0.0061
7.64,17.258,0.07,-0.0046
7.66,16.945,0.082,-0.0038
7.68,16.668,0.093,-0.0025
7.7,16.851,0.101,-0.0016
7.72,16.977,0.101,-0.0005
