Depth,Qc,Fs,u
14.06,16.511,0.072,0.1122
14.08,16.783,0.075,0.1115
14.1,16.915,0.081,0.1102
14.12,16.957,0.088,0.1085
14.14,17.075,0.1,0.1081
14.16,17.332,0.108,0.1077
14.18,17.76,0.113,0.1082
14.2,18.373,0.115,0.1084
14.22,19.775,0.116,0.1091
14.24,20.337,0.117,0.1083
14.26,20.642,0.115,0.1101
14.28,20.761,0.116,0.1107
14.3,20.857,0.119,0.1097
14.32,20.725,0.12,0.1098
14.34,20.495,0.122,0.1076
14.36,20.497,0.061,0.1075
14.38,20.38,0.088,0.0993
14.4,20.263,0.103,0.0992
14.42,21.426,0.112,0.1009
14.44,21.894,0.115,0.0996
14.46,22.349,0.118,0.1009
14.48,22.69,0.12,0.1008
14.5,22.778,0.124,0.1009
14.52,22.776,0.127,0.1013
14.54,22.833,0.13,0.101
14.56,22.975,0.132,0.1001
14.58,23.058,0.132,0.0988
14.6,23.132,0.133,0.0991
14.62,23.165,0.134,0.0996
14.64,23.21,0.135,0.0997
14.66,23.18,0.136,0.0991
14.68,23.27,0.137,0.1001
14.7,23.149,0.138,0.1002
14.72,22.758,0.14,0.0973
14.74,22.246,0.143,0.0967
14.76,21.751,0.144,0.0956
14.78,21.31,0.146,0.0956
14.8,21.025,0.146,0.0943
14.82,20.613,0.146,0.0951
14.84,20.362,0.146,0.0947
14.86,20.248,0.143,0.0952
14.88,20.166,0.139,0.0959
14.9,20.103,0.138,0.0958
14.92,20.169,0.136,0.0962
14.94,20.739,0.136,0.097
14.96,21.286,0.134,0.0973
14.98,21.824,0.133,0.099
15.0,22.199,0.131,0.0986
15.02,22.339,0.131,0.1002
15.04,22.426,0.131,0.1005
15.06,23.074,0.131,0.1008
15.08,23.525,0.132,0.1009
15.1,23.954,0.145,0.1017
15.12,24.185,0.072,0.1064
15.14,24.017,0.098,0.0862
15.16,23.849,0.104,0.0831
15.18,24.136,0.11,0.0853
15.2,24.325,0.113,0.0866
15.22,24.631,0.116,0.0877
15.24,24.467,0.119,0.0887
15.26,24.175,0.124,0.0909
15.28,23.736,0.131,0.0921
15.3,23.381,0.136,0.0929
15.32,22.868,0.139,0.0929
15.34,21.801,0.141,0.0936
15.36,21.381,0.141,0.0933
15.38,21.099,0.141,0.0926
15.4,21.032,0.137,0.0914
15.42,21.109,0.133,0.0922
15.44,21.291,0.129,0.0936
15.46,21.397,0.125,0.0932
15.48,21.194,0.123,0.0946
15.5,21.069,0.122,0.0953
15.52,21.002,0.122,0.0954
15.54,21.048,0.124,0.0955
15.56,21.106,0.124,0.0965
15.58,20.788,0.123,0.0967
15.6,20.435,0.122,0.0975
15.62,20.072,0.122,0.099
15.64,19.686,0.119,0.099
15.66,19.414,0.119,0.0995
15.68,19.094,0.117,0.0988
15.7,18.995,0.115,0.0985
15.72,18.789,0.112,0.0982
15.74,18.556,0.109,0.0993
15.76,18.3,0.107,0.0993
15.78,18.09,0.106,0.0997
15.8,17.445,0.104,0.1007
15.82,17.233,0.103,0.1005
15.84,17.132,0.114,0.1004
15.86,16.953,0.097,0.0844
15.88,16.894,0.087,0.0853
15.9,16.835,0.081,0.0881
15.92,16.832,0.079,0.0921
15.94,16.715,0.08,0.0944
15.96,16.598,0.081,0.0969
15.98,16.538,0.084,0.0988
16.0,17.149,0.087,0.1002
16.02,18.356,0.095,0.1013
16.04,20.125,0.104,0.0818
16.06,22.343,0.113,0.0545
16.08,23.976,0.118,0.0333
16.1,25.689,0.113,0.0174
16.12,25.803,0.097,0.0058
16.14,26.067,0.089,0.0012
16.16,26.17,0.083,-0.0002
16.18,25.976,0.083,-0.0004
16.2,25.664,0.089,-0.0002
16.22,25.948,0.095,0.0012
16.24,26.369,0.105,0.0037
16.26,26.595,0.113,0.0057
16.28,26.679,0.118,0.0073
16.3,26.653,0.121,0.0085
16.32,26.51,0.122,0.0099
16.34,26.326,0.125,0.011
16.36,26.044,0.128,0.0128
16.38,25.576,0.13,0.0142
16.4,25.167,0.131,0.0152
16.42,24.705,0.132,0.0165
16.44,23.907,0.133,0.0183
16.46,23.607,0.134,0.0201
16.48,23.444,0.133,0.0216
16.5,23.527,0.13,0.0241
16.52,23.684,0.127,0.0262
16.54,23.759,0.126,0.0284
16.56,23.705,0.126,0.0299
16.58,22.947,0.128,0.0319
16.6,22.285,0.13,0.0339
16.62,22.049,0.13,0.0361
16.64,22.368,0.13,0.0379
16.66,22.935,0.129,0.04
16.68,23.132,0.135,0.0403
16.7,20.625,0.137,0.0432
16.72,21.17,0.127,0.0404
16.74,22.411,0.121,0.0319
16.76,22.215,0.112,0.028
16.78,21.901,0.105,0.027
16.8,21.393,0.1,0.0268
16.82,20.802,0.096,0.0271
16.84,20.517,0.094,0.0292
16.86,20.345,0.094,0.0307
16.88,20.131,0.096,0.0329
16.9,19.735,0.097,0.0351
16.92,19.459,0.097,0.0365
16.94,19.987,0.096,0.038
16.96,20.82,0.094,0.0411
16.98,21.836,0.091,0.0437
17.0,22.953,0.09,0.047
17.02,23.762,0.088,0.0494
17.04,24.771,0.089,0.0522
17.06,24.879,0.09,0.0553
17.08,24.9,0.096,0.0589
17.1,24.959,0.103,0.0621
17.12,24.929,0.108,0.064
17.14,24.93,0.111,0.0655
17.16,24.824,0.114,0.0683
17.18,24.837,0.112,0.0706
17.2,24.489,0.109,0.0725
17.22,24.15,0.105,0.0761
17.24,23.803,0.103,0.0781
17.26,23.722,0.101,0.0815
17.28,23.501,0.1,0.0859
17.3,21.777,0.101,0.0864
17.32,20.728,0.101,0.0883
17.34,20.072,0.1,0.0902
17.36,19.887,0.098,0.0907
17.38,20.259,0.098,0.0917
17.4,20.986,0.097,0.0927
17.42,22.513,0.094,0.0837
17.44,23.211,0.092,0.0694
17.46,23.654,0.089,0.0522
17.48,23.803,0.087,0.0434
17.5,23.552,0.086,0.0399
17.52,22.858,0.085,0.0393
17.54,22.129,0.042,0.0389
17.56,21.034,0.058,0.0398
17.58,19.939,0.068,0.0423
17.6,19.695,0.073,0.044
17.62,19.328,0.078,0.0457
17.64,19.107,0.084,0.0485
17.66,18.872,0.087,0.0499
17.68,18.749,0.088,0.0506
17.7,18.6,0.088,0.0513
17.72,19.499,0.084,0.0533
17.74,20.602,0.083,0.0558
17.76,21.606,0.082,0.052
17.78,22.383,0.081,0.0438
17.8,22.804,0.08,0.0376
17.82,23.133,0.078,0.0356
17.84,23.203,0.078,0.0354
17.86,23.611,0.08,0.0366
17.88,24.168,0.081,0.0383
17.9,24.28,0.084,0.0416
17.92,24.152,0.089,0.0437
17.94,23.802,0.093,0.0454
17.96,23.347,0.097,0.0476
17.98,21.681,0.099,0.0503
18.0,20.646,0.103,0.0528
18.02,19.701,0.103,0.0555
18.04,19.296,0.101,0.0577
18.06,19.196,0.098,0.0589
18.08,19.219,0.1,0.0526
18.1,20.523,0.104,0.0401
18.12,21.124,0.107,0.0273
18.14,20.96,0.105,0.0144
18.16,20.587,0.1,0.0029
18.18,20.345,0.088,-0.0019
18.2,20.048,0.076,-0.0035
18.22,19.831,0.067,-0.0041
18.24,20.343,0.066,-0.0037
18.26,20.582,0.033,-0.0022
18.28,20.433,0.049,-0.0019
18.3,20.284,0.056,-0.0017
18.32,20.656,0.076,-0.009
18.34,20.753,0.087,-0.0149
18.36,20.809,0.083,-0.0186
18.38,20.822,0.075,-0.0207
18.4,20.64,0.068,-0.0214
18.42,20.367,0.065,-0.0214
18.44,19.552,0.068,-0.0206
18.46,18.135,0.072,-0.0198
18.48,16.281,0.077,-0.0191
18.5,15.088,0.085,-0.0187
18.52,16.377,0.092,-0.018
18.54,18.65,0.098,-0.0172
18.56,21.124,0.105,-0.0206
18.58,23.319,0.108,-0.0254
18.6,25.05,0.102,-0.0294
18.62,26.082,0.092,-0.0319
18.64,26.553,0.082,-0.0328
18.66,26.816,0.078,-0.0327
18.68,26.785,0.073,-0.0322
18.7,26.677,0.074,-0.0313
18.72,26.395,0.08,-0.0303
18.74,25.968,0.084,-0.0297
18.76,25.579,0.089,-0.0291
18.78,24.19,0.091,-0.0283
18.8,23.07,0.091,-0.0274
18.82,21.858,0.086,-0.0265
18.84,20.786,0.082,-0.0256
18.86,19.911,0.081,-0.0245
18.88,19.091,0.08,-0.0237
18.9,18.498,0.08,-0.023
18.92,18.341,0.08,-0.0224
18.94,19.014,0.08,-0.022
18.96,19.53,0.087,-0.0269
18.98,19.663,0.092,-0.0307
19.0,19.886,0.088,-0.0332
19.02,19.945,0.081,-0.0343
19.04,17.699,0.04,-0.034
19.06,17.829,0.045,-0.0336
19.08,17.958,0.043,-0.0331
19.1,18.047,0.04,-0.0327
19.12,17.701,0.037,-0.032
19.14,17.157,0.034,-0.0315
19.16,16.721,0.034,-0.0311
19.18,16.188,0.038,-0.0302
19.2,15.869,0.042,-0.0297
19.22,15.651,0.046,-0.029
19.24,15.522,0.049,-0.0284
19.26,15.491,0.053,-0.0279
19.28,15.521,0.058,-0.0273
19.3,15.74,0.063,-0.0263
19.32,16.262,0.065,-0.0254
19.34,16.863,0.066,-0.0244
19.36,17.601,0.067,-0.0234
19.38,17.988,0.068,-0.0226
19.4,18.31,0.068,-0.0215
19.42,18.591,0.071,-0.0202
19.44,18.945,0.074,-0.0189
19.46,19.267,0.075,-0.0179
19.48,19.677,0.077,-0.0171
19.5,20.571,0.079,-0.0161
19.52,20.991,0.082,-0.0148
19.54,21.057,0.088,-0.0131
19.56,20.96,0.094,-0.0117
19.58,20.807,0.098,-0.0105
19.6,20.55,0.102,-0.0093
19.62,20.618,0.106,-0.0082
19.64,20.672,0.11,-0.0071
19.66,20.579,0.114,-0.0054
19.68,20.436,0.118,-0.0041
19.7,20.179,0.121,-0.003
19.72,19.934,0.123,-0.0022
19.74,19.994,0.125,-0.001
19.76,20.207,0.126,-0.0002
19.78,20.511,0.125,0.0013
19.8,20.933,0.124,0.0026
19.82,21.278,0.122,0.0039
19.84,21.401,0.12,0.0053
19.86,21.33,0.06,0.0091
19.88,18.565,0.084,0.0116
19.9,20.222,0.09,0.0148
19.92,20.957,0.093,0.0171
19.94,21.076,0.094,0.0191
19.96,20.386,0.093,0.0208
19.98,19.736,0.092,0.0221
20.0,18.953,0.093,0.0237
20.02,18.953,0.095,0.0253
