Depth,Qc,Fs,u
10.66,13.729,0.107,0.0866
10.68,13.729,0.089,0.0794
10.7,15.97,0.081,0.0769
10.72,16.23,0.078,0.0764
10.74,16.229,0.078,0.0775
10.76,16.641,0.078,0.0783
10.78,16.909,0.079,0.0801
10.8,17.092,0.08,0.0799
10.82,17.21,0.082,0.08
10.84,17.419,0.083,0.0812
10.86,17.509,0.084,0.0794
10.88,17.731,0.086,0.08
10.9,18.429,0.088,0.0795
10.92,18.75,0.09,0.0758
10.94,19.236,0.092,0.0721
10.96,19.585,0.092,0.072
10.98,19.696,0.092,0.0704
11.0,19.822,0.094,0.0649
11.02,20.1,0.096,0.0584
11.04,20.329,0.093,0.054
11.06,20.378,0.089,0.0536
11.08,20.385,0.088,0.0551
11.1,20.37,0.086,0.057
11.12,20.377,0.085,0.0581
11.14,20.324,0.087,0.0592
11.16,20.258,0.09,0.0603
11.18,19.976,0.093,0.0596
11.2,19.706,0.095,0.0605
11.22,19.338,0.097,0.0608
11.24,18.719,0.099,0.0607
11.26,18.387,0.1,0.0624
11.28,17.963,0.101,0.063
11.3,17.407,0.101,0.0629
11.32,16.692,0.102,0.0625
11.34,15.807,0.101,0.0631
11.36,14.79,0.101,0.0645
11.38,13.683,0.11,0.0703
11.4,10.915,0.102,0.0664
11.42,9.658,0.101,0.0678
11.44,8.274,0.103,0.0689
11.46,7.106,0.11,0.068
11.48,7.336,0.117,0.0706
11.5,8.101,0.12,0.0748
11.52,9.608,0.119,0.0787
11.54,11.115,0.11,0.0591
11.56,13.591,0.102,0.0468
11.58,15.539,0.095,0.0336
11.6,16.633,0.089,0.0274
11.62,17.771,0.082,0.027
11.64,17.876,0.078,0.0283
11.66,18.051,0.073,0.0297
11.68,18.411,0.073,0.032
11.7,18.82,0.074,0.0342
11.72,19.321,0.076,0.0368
11.74,19.827,0.078,0.0388
11.76,20.612,0.08,0.0411
11.78,21.0,0.083,0.043
11.8,21.406,0.088,0.0455
11.82,21.955,0.091,0.0474
11.84,22.585,0.094,0.0496
11.86,23.037,0.096,0.0511
11.88,23.532,0.098,0.0539
11.9,23.274,0.096,0.0541
11.92,22.73,0.094,0.0493
11.94,22.306,0.089,0.0443
11.96,21.884,0.084,0.0438
11.98,21.364,0.083,0.0421
12.0,21.048,0.042,0.047
12.02,17.992,0.056,0.0475
12.04,19.909,0.056,0.0517
12.06,20.012,0.057,0.0553
12.08,19.825,0.06,0.0589
12.1,19.672,0.06,0.0617
12.12,19.427,0.059,0.0619
12.14,18.774,0.057,0.0651
12.16,18.479,0.056,0.0671
12.18,18.211,0.057,0.068
12.2,17.973,0.058,0.0703
12.22,17.747,0.059,0.0722
12.24,17.437,0.059,0.0737
12.26,17.11,0.06,0.0752
12.28,16.335,0.062,0.0766
12.3,15.874,0.064,0.078
12.32,15.505,0.066,0.079
12.34,14.892,0.079,0.0821
12.36,14.522,0.086,0.0829
12.38,14.391,0.088,0.0761
12.4,14.609,0.086,0.0727
12.42,15.32,0.081,0.0733
12.44,15.355,0.076,0.0745
12.46,15.172,0.071,0.0761
12.48,15.005,0.066,0.0777
12.5,15.282,0.063,0.0794
12.52,16.14,0.063,0.0811
12.54,17.439,0.065,0.081
12.56,17.68,0.065,0.0771
12.58,17.402,0.061,0.0775
12.6,17.054,0.055,0.0805
12.62,16.688,0.051,0.0832
12.64,16.212,0.048,0.0846
12.66,15.75,0.047,0.087
12.68,15.23,0.046,0.0885
12.7,14.277,0.049,0.0902
12.72,13.927,0.053,0.0912
12.74,13.722,0.054,0.0927
12.76,13.691,0.027,0.0999
12.78,12.34,0.038,0.0953
12.8,13.091,0.043,0.0947
12.82,13.697,0.046,0.0954
12.84,13.632,0.048,0.0957
12.86,13.236,0.049,0.0962
12.88,12.084,0.051,0.0967
12.9,11.195,0.053,0.0974
12.92,9.857,0.056,0.0985
12.94,8.693,0.06,0.0988
12.96,7.868,0.065,0.0982
12.98,7.274,0.065,0.0978
13.0,6.737,0.064,0.0982
13.02,5.788,0.063,0.0983
13.04,5.09,0.06,0.0977
13.06,4.657,0.056,0.0976
13.08,4.456,0.053,0.0983
13.1,4.331,0.049,0.0997
13.12,4.175,0.047,0.1006
13.14,3.963,0.045,0.1026
13.16,3.688,0.042,0.104
13.18,3.506,0.04,0.1044
13.2,3.387,0.038,0.1044
13.22,3.279,0.038,0.1052
13.24,3.204,0.036,0.1053
13.26,3.182,0.035,0.1062
13.28,3.225,0.034,0.1072
13.3,3.311,0.034,0.108
13.32,3.344,0.033,0.1088
13.34,3.402,0.032,0.1083
13.36,3.567,0.031,0.1085
13.38,3.806,0.031,0.11
13.4,4.009,0.03,0.1105
13.42,4.142,0.03,0.1107
13.44,4.271,0.03,0.111
13.46,4.492,0.03,0.1116
13.48,4.792,0.03,0.1123
13.5,5.005,0.032,0.1136
13.52,4.947,0.035,0.1149
13.54,4.762,0.038,0.1154
13.56,4.603,0.039,0.115
13.58,4.511,0.035,0.1101
13.6,4.84,0.033,0.1092
13.62,5.714,0.032,0.1104
13.64,7.033,0.034,0.1122
13.66,8.567,0.034,0.106
13.68,10.101,0.035,0.1049
13.7,12.198,0.037,0.1062
13.72,12.587,0.04,0.1074
13.74,12.643,0.045,0.1089
13.76,12.885,0.05,0.1123
13.78,12.979,0.054,0.1151
13.8,12.91,0.058,0.1158
13.82,13.12,0.06,0.1165
13.84,14.602,0.061,0.1113
13.86,15.561,0.062,0.1091
13.88,16.056,0.066,0.0966
13.9,16.572,0.068,0.0916
13.92,16.843,0.069,0.0896
13.94,16.831,0.072,0.0933
13.96,16.663,0.074,0.1001
13.98,16.479,0.073,0.1071
14.0,16.299,0.072,0.1105
14.02,16.209,0.071,0.1116
14.04,16.271,0.071,0.1117
