index,easting,northing,vs30,uncertainty,source
110,1.570067e+06,5.185432e+06,151.27962,0.5,cpt
111,1.5700166e+06,5.185227e+06,142.27083,0.5,cpt
112,1.5700375e+06,5.1848635e+06,146.78046,0.5,cpt
113,1.5714074e+06,5.1910035e+06,173.12393,0.5,cpt
114,1.570953e+06,5.179053e+06,155.98888,0.5,cpt
115,1.5726939e+06,5.1813135e+06,169.83823,0.5,cpt
116,1.5704946e+06,5.1877215e+06,139.7837,0.5,cpt
117,1.7534758e+06,5.9145025e+06,191.77467,0.5,cpt
119,1.772826e+06,5.8826155e+06,176.0505,0.5,cpt
120,1.7539238e+06,5.9680215e+06,144.41501,0.5,cpt
121,1.772919e+06,5.882556e+06,144.49089,0.5,cpt
122,1.7518614e+06,5.9177625e+06,235.9834,0.5,cpt
123,1.7525581e+06,5.9180015e+06,137.11147,0.5,cpt
124,1.7524912e+06,5.9180575e+06,159.66672,0.5,cpt
125,1.7528596e+06,5.9181135e+06,171.12354,0.5,cpt
126,1.5709208e+06,5.181867e+06,185.9943,0.5,cpt
127,1.573849e+06,5.180314e+06,187.42177,0.5,cpt
128,1.5723215e+06,5.181679e+06,196.15126,0.5,cpt
130,1.5754194e+06,5.1815505e+06,203.51468,0.5,cpt
131,1.5681451e+06,5.1801585e+06,167.09229,0.5,cpt
132,1.7532296e+06,5.4432595e+06,223.00487,0.5,cpt
133,1.5766162e+06,5.184401e+06,186.29459,0.5,cpt
134,1.5741018e+06,5.177572e+06,182.80302,0.5,cpt
135,1.5689885e+06,5.17662e+06,157.03711,0.5,cpt
136,1.5724981e+06,5.178657e+06,166.17659,0.5,cpt
137,1.5744024e+06,5.182076e+06,188.43457,0.5,cpt
138,1.5730545e+06,5.1821065e+06,202.05942,0.5,cpt
139,1.71016e+06,5.616968e+06,168.15894,0.5,cpt
140,1.407991e+06,4.917832e+06,150.70312,0.5,cpt
141,1.5683571e+06,5.175513e+06,148.8831,0.5,cpt
142,1.8925424e+06,5.80893e+06,154.40564,0.5,cpt
143,1.570907e+06,5.17944e+06,194.78445,0.5,cpt
144,1.8930925e+06,5.809037e+06,190.05869,0.5,cpt
145,1.8924651e+06,5.809067e+06,146.65337,0.5,cpt
146,1.5712829e+06,5.1796415e+06,163.40569,0.5,cpt
147,1.5712525e+06,5.179659e+06,169.88701,0.5,cpt
148,1.5771629e+06,5.1723065e+06,194.3966,0.5,cpt
149,1.5726629e+06,5.180361e+06,178.07289,0.5,cpt
150,1.624083e+06,5.4310855e+06,213.67746,0.5,cpt
151,1.6239135e+06,5.430952e+06,193.07715,0.5,cpt
152,1.573776e+06,5.18203e+06,192.16306,0.5,cpt
153,1.57125e+06,5.1778965e+06,191.97975,0.5,cpt
154,1.5707811e+06,5.180544e+06,115.06884,0.5,cpt
155,1.5759439e+06,5.182172e+06,229.47528,0.5,cpt
156,1.7644359e+06,5.4615605e+06,234.2666,0.5,cpt
157,1.7645935e+06,5.4618275e+06,187.12053,0.5,cpt
158,1.5690175e+06,5.181088e+06,197.76993,0.5,cpt
159,1.5758306e+06,5.18283e+06,205.13936,0.5,cpt
160,1.7482565e+06,5.427393e+06,175.39232,0.5,cpt
161,1.5765198e+06,5.1849535e+06,190.06888,0.5,cpt
162,1.5722298e+06,5.196458e+06,201.41837,0.5,cpt
163,1.5722379e+06,5.196546e+06,201.799,0.5,cpt
164,1.5679681e+06,5.1834195e+06,169.5233,0.5,cpt
165,1.9341595e+06,5.6208365e+06,180.27272,0.5,cpt
166,1.5744078e+06,5.20459e+06,193.39546,0.5,cpt
167,1.9317296e+06,5.7825775e+06,179.83745,0.5,cpt
168,1.8790576e+06,5.8251915e+06,113.61323,0.5,cpt
169,1.8792289e+06,5.825411e+06,123.07591,0.5,cpt
170,1.8802295e+06,5.8255185e+06,161.69205,0.5,cpt
171,1.573157e+06,5.186527e+06,198.3538,0.5,cpt
172,1.576518e+06,5.17476e+06,152.51575,0.5,cpt
174,1.5695091e+06,5.175285e+06,182.5533,0.5,cpt
175,1.5738066e+06,5.200034e+06,192.72704,0.5,cpt
176,1.5714282e+06,5.1778305e+06,22.952835,0.5,cpt
177,1.5721502e+06,5.1770635e+06,161.36502,0.5,cpt
178,1.5728684e+06,5.1814145e+06,158.34601,0.5,cpt
179,1.750457e+06,5.721217e+06,137.73349,0.5,cpt
180,1.738722e+06,5.701995e+06,174.75555,0.5,cpt
181,1.744264e+06,5.718921e+06,131.862,0.5,cpt
182,1.7881514e+06,5.7601995e+06,94.91626,0.5,cpt
183,1.843425e+06,5.805055e+06,169.30182,0.5,cpt
184,1.5722848e+06,5.1813905e+06,170.55168,0.5,cpt
185,1.791495e+06,5.814687e+06,128.4801,0.5,cpt
186,1.788562e+06,5.813717e+06,147.06526,0.5,cpt
187,1.5723006e+06,5.1813855e+06,170.21869,0.5,cpt
188,1.792856e+06,5.81473e+06,159.95576,0.5,cpt
189,1.576684e+06,5.185895e+06,185.75824,0.5,cpt
190,1.5736796e+06,5.202893e+06,211.21947,0.5,cpt
