"","index","easting","northing","slp09c","slp30c"
"1",37232,2486482.68,5769265.67,0.00302716915889492,0.000847734919835845
"2",37235,2487004,5768884,0.0020781498364624,0.00122278226743994
"3",37135,2483316.8,5767891.85,0.00395421421243982,0.0030376568936043
"4",37135,2483809.69,5767624.36,0.00409388324930921,0.0032142312329269
"5",37235,2486832.67,5768389.67,0.00175470872972519,0.00122278226743994
"6",37278,2478063.2,5766886.08,0.00991778869419462,0.00700508831047093
"7",37135,2480918.29,5766566.3,0.00187687217669381,0.00264071051996929
"8",37135,2484077.39,5767404.39,0.00283545182370285,0.0032142312329269
"9",37232,2485748.89,5766403.33,0.00187104641677145,0.00239684234510737
"10",37278,2478039.4,5766533.86,0.00962416981573781,0.00700508831047093
"11",37135,2479631.28,5766058.81,0.00680166701905377,0.00363585569900472
"12",37135,2479631.28,5766058.81,0.00680166701905377,0.00363585569900472
"13",37135,2482932.53,5765580.37,0.00210333998415624,0.00252062526533007
"14",37232,2485664.14,5766014.18,0.00233694198267014,0.00230488385834511
"15",37232,2485676.91,5766004.9,0.00233694198267014,0.00230488385834511
"16",37135,2483065.98,5764210.09,0.00194610660724208,0.00212532008843773
"17",37135,2483066.69,5764197.78,0.00194610660724208,0.00212532008843773
"18",37135,2484199.92,5763575.81,0.00317720748062082,0.00288554307293021
"19",37135,2484491.75,5764227.62,0.00346172699715538,0.00288554307293021
"20",37506,2482809.03,5761251.69,0.000717902650877601,0.00159481792844091
"21",37135,2483823.21,5761681.47,0.00204908724407755,0.00188536220354692
"22",37506,2482832.93,5761029.62,0.0022357237203826,0.00159481792844091
"23",37506,2483136.37,5759400.23,0.000277560479796739,0.000597653573974979
"24",37638,2485571,5759605,0.000774273975369606,0.000574562182288799
"25",37638,2485592,5759602,0.000315931192527539,0.000574562182288799
"26",37135,2480248.62,5759009.28,0.000891578089207661,0.00117546188755659
"27",37135,2481034.59,5758440.02,0.00193063804531508,0.00109437997719163
"28",37135,2481931.58,5758550.69,0.00124619785574729,0.000899766674656698
"29",37135,2482872.6,5758704.71,0.00169425239949516,0.00027319474900337
"30",37135,2483522.95,5758494.55,0.000936181129708419,0.00027319474900337
"31",37235,2485943.92,5758941.75,0.0012219399642212,0.000561798908133041
"32",37135,2480087.92,5758241.88,0.00058466678414894,0.00170781148543763
"33",37135,2481260.64,5757716.25,0.00126829200266292,0.00104889137932278
"34",37506,2482223.88,5758021.04,0.00105859030764844,0.000618306707413697
"35",37722,2483083.84,5757896.39,0.000362644757136972,0.000102085244471246
"36",37135,2483545.32,5757873.17,0.000661120199576387,0.000102085244471246
"37",37235,2485955,5757873,0.00111312929152702,0.000590792978536087
"38",37135,2481042.84,5757063.25,0.00228326583038901,0.00126819710092767
"39",37506,2482383.43,5756983.65,0.000708178916686324,0.00108260125453092
"40",37135,2482563.14,5757000.03,0.000708178916686324,0.00108260125453092
"41",37787,2485166.66,5756378.17,0.000355551518385378,0.000508969650911132
"42",37788,2485802.43,5756636.7,0.000316840561410763,0.000495332784895369
"43",37135,2481187.7,5755979.68,0.00166956939084669,0.00141039830263382
"44",37809,2481680.03,5755965.76,0.00224606083385184,0.00141039830263382
"45",37794,2483111.52,5755824.84,0.00211542869488339,0.00110524931896524
"46",37788,2485215.4,5755576.36,0.00103720135067506,0.000582339140164419
"47",37788,2485801.61,5756025.24,0.000777179695661019,0.000390717766142182
"48",37135,2478030.76,5754709.6,0.00424256552752418,0.00304858585931374
"49",37135,2481417.94,5755027.76,0.00117166462734358,0.00123520500329847
"50",37135,2481500.17,5755062.67,0.00117166462734358,0.00123520500329847
"51",37788,2485128.15,5754890.28,0.00116296706062,0.000585468048605485
"52",37794,2482000.8,5753687.8,0.000480669918404923,0.00102568857982529
"53",37788,2484931.35,5753479.64,0.000534137526666046,0.000956830008394571
"54",37787,2481385.91,5752459.89,0.00149734429723872,0.00125110759480534
"55",37794,2481700.4,5752898,0.00072059376969766,0.00127516787131912
"56",37794,2483930.68,5752368.74,0.00159547565234739,0.00146300585930231
"57",37787,2485135,5752925,0.000873732466548029,0.000956830008394571
"58",37788,2485840.92,5752932.75,0.00110413926031085,0.000895900531808563
"59",37787,2480376.51,5751363.49,0.00343225947306987,0.00184271321754201
"60",37787,2481326.88,5752148.78,0.00153427973203551,0.00125110759480534
"61",37787,2481444.93,5752165.78,0.00153427973203551,0.00125110759480534
"62",37787,2482973.27,5751756.93,0.00197246993198756,0.00162912370701679
"63",37794,2483941.78,5752346.93,0.00159547565234739,0.00146300585930231
"64",37788,2485343.37,5752472.88,0.000910321205560496,0.00115088002536576
"65",37787,2478555.14,5750694.45,0.0042267764333534,0.00290766997243163
"66",37787,2479010.35,5750890.42,0.00363266593849774,0.00290766997243163
"67",37787,2480292.97,5750788.48,0.00405083732359586,0.00187389038753683
"68",37787,2480975,5751073,0.00239917291421489,0.00184271321754201
