"","polygon","easting","northing","v30","terrain","slp09c","slp30c","MVN_Vs30_NZGD00_allNZ_AhdiAK_noQ3_hyb09c_noisyT_minDist0.0km_v6_crp1.5","MVN_Vs30_NZGD00_allNZ_YongCA_noQ3_noisyT_minDist0.0km_v7_crp1.5","MVN_stDv_NZGD00_allNZ_AhdiAK_noQ3_hyb09c_noisyT_minDist0.0km_v6_crp1.5","MVN_stDv_NZGD00_allNZ_YongCA_noQ3_noisyT_minDist0.0km_v7_crp1.5","IwahashiPike_NZ_100m_16","gid_aak_n3_h9c"
"682",51232,1413603.99820902,4915995.10496002,1500,"Igneous",0.185909165129358,0.0544566690627273,689.825805664062,458.794616699219,0.446020573377609,0.499976456165314,4,"18_crystalline"
"683",16746,1807690.13927948,5634120.75227389,350,"Other",0.0158395088491106,0.0161144773400165,455,202.125869750977,0.544983804225922,0.206810414791107,16,"15_undifSed"
"684",21387,1780972.935601,5486242.54344294,210,"Alluvial",0.00751896802117355,0.00593766333899971,262.653381347656,216.623687744141,0.243185758590698,0.254939019680023,13,"06_alluvium"
"685",37443,1522028.75355605,5202544.51450089,1000,"Igneous",0.0115162352449826,0.0133801532085026,690.974609375,266.870178222656,0.446021139621735,0.39998123049736,11,"18_crystalline"
"686",22052,1768843.21697294,5468818.98648534,200,"EolianUncemented",0.00514827129840228,0.0183313333945638,472.749389648438,202.125869750977,0.354549497365952,0.206810414791107,16,"11_loess"
"687",38667,1579869.47779948,5176087.77265204,760,"Igneous",0.146142101993654,0.0720028643757139,662.5078125,558.148315429688,0.430667787790298,0.376782596111298,7,"18_crystalline"
"688",40549,1458227.24650733,5135067.85503669,425,"Alluvial",0.0291404449938925,0.0858220163442776,246.613830566406,241.808700561523,0.344588965177536,0.307467997074127,14,"10_fan"
"689",20771,1754937.68091366,5444226.12644258,900,"Sedimentary",0.0209945921986996,0.0306296842688263,455.030242919922,216.630111694336,0.544980585575104,0.254938989877701,13,"15_undifSed"
"690",20204,1906968.16334632,5532438.08045621,210,"Alluvial",0.0147302711527718,0.0215433744422471,272.977752685547,202.125869750977,0.243185758590698,0.206810414791107,16,"06_alluvium"
"691",24114,1757529.63337618,5434617.10674369,200,"Other",0.00892296499271187,0.0438207356444045,219.996871948242,199.752670288086,0.140472680330276,0.118150241672993,16,"09_beachBarDune"
"695",41909,1371990.65313817,5102957.6990777,330,"Glacial",0.0423083966840021,0.0105947069311738,453,323.504058837891,0.511981785297394,0.407411843538284,5,"14_moraineTill"
"696",20318,1821457.47808494,5530247.81755285,270,"Alluvial",0.00353953796698006,0.00380549516355039,260.927734375,202.125869750977,0.243185758590698,0.206810414791107,16,"06_alluvium"
"697",18855,1820183.27633161,5528739.56806107,210,"Alluvial",0.00183423167359051,0.00199293161373048,258.438842773438,202.125869750977,0.243185758590698,0.206810414791107,16,"06_alluvium"
"698",20200,1823737.94764301,5532255.68864692,270,"Alluvial",0.00900981648057926,0.00628367607951835,262.873901367188,202.125869750977,0.243185758590698,0.206810414791107,16,"06_alluvium"
"699",23324,1753745.12327073,5445755.6818412,330,"Other",0.0729366309182801,0.0879946699984556,235.97624206543,317.369659423828,0.217050015926361,0.331646919250488,10,"09_beachBarDune"
"700",23268,1754366.80801131,5445026.82204342,275,"Other",0.0105075474473737,0.0310240115639716,225.375198364258,241.811813354492,0.217049986124039,0.307467997074127,14,"09_beachBarDune"
"701",24261,1748637.67647043,5429504.83305763,1000,"Fill",0.301143036007435,0.0793731662473167,414.056427001953,430.599578857422,0.125516802072525,0.477071672677994,2,"04_fill"
"702",37787,1568217.64294685,5184378.08632325,180,"Alluvial",0.00501951580918723,0.00352128305656472,180.649566650391,179.782638549805,0.0872755274176598,0.0927826687693596,15,"13_floodplain"
"703",24313,1762053.83363809,5431794.96857389,190,"Alluvial",0.0325240959393752,0.0353405112612636,207.351089477539,188.75358581543,0.186339735984802,0.164761379361153,13,"10_fan"
"704",37787,1574364.76233163,5180742.98787446,196,"Alluvial",0.00300402632718872,0.000716869696821883,193.556243896484,194.833541870117,0.0810689106583595,0.0849201008677483,16,"13_floodplain"
"705",22898,1755929.4646204,5434821.86115502,450,"Alluvial",0.180259804967846,0.0821931755826908,267.1796875,320.966766357422,0.235382959246635,0.403885245323181,5,"06_alluvium"
"706",10614,2061276.13797546,5773176.19142917,1000,"Other",0.0814449727798856,0.0325095255208941,455,266.870178222656,0.544980645179749,0.39998123049736,11,"15_undifSed"
"707",24114,1757066.50700275,5434600.49323856,190,"Other",0.013215576919945,0.060329537390145,219.217391967773,196.761764526367,0.155216872692108,0.138446539640427,16,"09_beachBarDune"
"708",20771,1753264.97245107,5445486.98246988,1000,"Sedimentary",0.121273791198036,0.0879946699984556,455.006378173828,535.787414550781,0.544980645179749,0.380770772695541,7,"15_undifSed"
"709",19209,1929559.46817281,5561798.37860998,1000,"Undifferentiated-Rock",0.0590476119554342,0.0136562019377712,455,323.504058837891,0.544980645179749,0.407411843538284,5,"15_undifSed"
"710",19209,1929567.64288532,5561691.22707103,1000,"Undifferentiated-Rock",0.0590476119554342,0.0136562019377712,455,323.504058837891,0.544980645179749,0.407411843538284,5,"15_undifSed"
"711",53794,1112189.57228474,4868036.6251326,1000,"Metamorphic",0.145398759931671,0.0563228181527919,690.974365234375,547,0.446021139621735,0.499976515769958,3,"18_crystalline"
"712",24557,1685683.93994749,5429696.32626264,270,"Alluvial",0.00603183765997269,0.0325280119334826,246.613830566406,284.470947265625,0.344590961933136,0.360538214445114,9,"10_fan"
"713",21611,1560296.30481352,5480504.743332,1000,"Metamorphic",0.14046186279902,0.0717843379742609,690.974365234375,535.786437988281,0.446023732423782,0.380770772695541,7,"18_crystalline"
"714",46401,1258360.43719023,5004320.28754148,350,"Lacustrine",0.108455483389929,0.113739774954685,238.658462524414,317.368438720703,0.217050030827522,0.331646919250488,10,"09_beachBarDune"
"716",26108,1652488.65096176,5401136.04597717,270,"Alluvial",0.0352181867483883,0.0458849004609578,270.733184814453,284.470947265625,0.243185758590698,0.360538214445114,9,"06_alluvium"
"717",29871,1506126.76951198,5336309.51836823,270,"Alluvial",0.0374864933189421,0.0497565729366632,271.058349609375,216.623687744141,0.24318715929985,0.254939019680023,13,"06_alluvium"
