CPT_ID, Latitude, Longitude, NZMG Easting, NZMG Northing, NZTM Easting, NZTM Northing, Vs30
4653,-43.506617,172.710002,2486560.62,5744495.66,1576557.82,5182882.92,192.91851
4658,-43.519945,172.711599,2486694.94,5743015.31,1576692.12,5181403.16,188.039374
4666,-43.490898,172.691349,2485045.77,5746236.61,1575043.54,5184623.16,191.890786
4697,-43.508235,172.709031,2486482.74,5744315.61,1576479.98,5182702.94,193.424134
4713,-43.489382,172.691876,2485087.83,5746405.22,1575085.58,5184791.7,198.358925
4800,-43.51146,172.710737,2486621.95,5743957.82,1576619.14,5182345.29,188.413018
4923,-43.554304,172.696035,2485450.36,5739193.46,1575448.15,5177582.8,184.123442
4968,-43.508466,172.710263,2486582.51,5744290.31,1576579.71,5182677.65,190.899162
4971,-43.518688,172.711952,2486722.99,5743155.06,1576720.16,5181542.86,188.939025
4981,-43.491733,172.692085,2485105.65,5746144.14,1575103.4,5184530.72,217.77222
4982,-43.492239,172.6917,2485074.74,5746087.79,1575072.5,5184474.39,195.735141
4983,-43.491175,172.694137,2485271.4,5746206.71,1575269.08,5184593.27,204.014965
4984,-43.491084,172.691742,2485077.69,5746216.15,1575075.45,5184602.7,213.868984
4985,-43.493126,172.692037,2485102.36,5745989.32,1575100.11,5184375.96,193.03929
5131,-43.512144,172.711855,2486712.6,5743882.1,1576709.75,5182269.61,183.880736
5188,-43.522243,172.710186,2486581.57,5742759.56,1576578.8,5181147.51,193.109005
5215,-43.514974,172.710388,2486595.08,5743567.22,1576592.29,5181954.85,187.433597
5254,-43.490464,172.693893,2485251.39,5746285.66,1575249.08,5184672.19,195.167813
5326,-43.518929,172.712488,2486766.36,5743128.49,1576763.51,5181516.3,191.518768
5377,-43.559198,172.679751,2484136.68,5738644.84,1574135.02,5177034.36,185.923406
5382,-43.55969,172.680999,2484237.73,5738590.54,1574236.03,5176980.08,153.781011
5543,-43.506844,172.710336,2486587.74,5744470.51,1576584.93,5182857.78,200.350459
5545,-43.515306,172.710454,2486600.59,5743530.39,1576597.8,5181918.04,181.568478
5546,-43.519084,172.711244,2486665.87,5743110.91,1576663.06,5181498.72,191.829421
5589,-43.550243,172.696945,2485522.33,5739644.91,1575520.08,5178034.07,195.833562
5593,-43.550252,172.697175,2485540.9,5739643.99,1575538.64,5178033.15,196.14729
5657,-43.490883,172.689581,2484902.81,5746237.79,1574900.63,5184624.33,211.886548
5699,-43.518466,172.710655,2486618.05,5743179.4,1576615.26,5181567.18,191.164446
6272,-43.51194,172.712132,2486734.92,5743904.82,1576732.06,5182292.32,190.752042
6273,-43.512538,172.712122,2486734.38,5743838.4,1576731.53,5182225.92,189.826979
6274,-43.520443,172.7115,2486687.06,5742959.94,1576684.25,5181347.81,183.627537
6282,-43.51231,172.710694,2486618.83,5743863.38,1576616.02,5182250.89,192.625548
6283,-43.519095,172.712024,2486728.97,5743109.91,1576726.14,5181497.72,182.677466
6299,-43.492152,172.690902,2485010.14,5746097.25,1575007.93,5184483.85,208.522456
6301,-43.493691,172.69231,2485124.64,5745926.66,1575122.38,5184313.33,198.595948
6303,-43.519594,172.7105,2486605.92,5743053.96,1576603.14,5181441.79,193.585205
6382,-43.508493,172.711652,2486694.85,5744287.65,1576692,5182675,195.560896
6406,-43.512285,172.710776,2486625.42,5743866.12,1576622.61,5182253.63,193.263511
6463,-43.506917,172.71011,2486569.52,5744462.38,1576566.72,5182849.65,202.205829
6480,-43.490431,172.694222,2485278.01,5746289.35,1575275.69,5184675.88,203.15646
7472,-43.55455,172.696165,2485461.02,5739166.23,1575458.81,5177555.58,184.542959
7520,-43.519224,172.711623,2486696.56,5743095.46,1576693.74,5181483.28,180.77999
7521,-43.519236,172.710037,2486568.35,5743093.63,1576565.58,5181481.45,190.670201
7528,-43.497639,172.69194,2485096.39,5745487.85,1575094.15,5183874.69,184.744154
7657,-43.554005,172.696491,2485487.13,5739226.82,1575484.91,5177616.15,182.52138
7704,-43.55008,172.697502,2485567.25,5739663.23,1575564.98,5178052.39,189.303587
9050,-43.519331,172.712257,2486747.85,5743083.73,1576745.01,5181471.56,186.391153
9087,-43.551181,172.697434,2485562.17,5739540.89,1575559.9,5177930.1,190.209819
9089,-43.508029,172.710739,2486620.77,5744339.01,1576617.95,5182726.33,200.097994
9104,-43.510625,172.711353,2486671.41,5744050.72,1576668.58,5182438.16,193.662661
