NZTM_X NZTM_Y Vs30
1576467.294706431 5181262.382226083 184.62536892933102
1570681.575752201 5180752.943248567 166.26828763526163
1573937.021464357 5182068.18183781 
1573105.0 5179270.0 159.1058840090746
1573150.0 5179295.0 187.60077189261514
1573160.0 5179410.0 187.2907698120118
1574119.21 5177887.92 186.39330244053252
1570469.27 5187186.17 157.44800912502282
1576583.0 5182912.0 200.3915969416738
1566029.5653533658 5175892.63077481 178.41258080708025
1874059.9650609468 5817173.424247444 129.23025899550825
1572140.7902932041 5196668.919160876 
1792689.29 5826532.47 165.53217102561268
1571192.0 5186865.0 177.8557371071779
1570698.0 5186853.0 210.96708572121804
1573347.602521912 5178443.929531151 
1747991.903637638 5925622.768428171 131.95085259415228
1574010.321063529 5178985.736970238 186.79240526086386
1569699.980368587 5188216.946215732 227.97532493753135
1573719.460931812 5182091.559199658 190.1392488349728
1572621.803162915 5181199.466928785 161.07153461143884
1576077.3717728418 5175392.646766705 174.45561441842182
1569251.2225070132 5179616.947964187 154.85176581002813
1804256.895002783 5810307.513124817 139.20927082870872
1804699.202804689 5811231.133872783 149.09534952727182
1804414.197782025 5812659.650950784 187.6364431644373
1571141.8695752118 5186560.156796116 168.8502604341998
1559070.24254043 5167040.162426805 185.7003730498903
1576820.087875834 5183809.218784305 206.7295904673239
1880659.9501013982 5826927.072296209 165.5054660799012
1881107.152328284 5826901.213441485 135.77583240083837
1577054.866317422 5183688.141394597 191.9587072037123
1569528.0 5183337.0 125.39117050517649
1572870.385169867 5181207.810557545 147.5096597642761
1561104.66 5168892.08 200.22927090582215
1574588.82 5180705.87 187.66527593411044
1576772.48 5184149.39 194.4849007966018
1578661.39 5180106.75 201.84567659938745
1575512.78 5181556.9 198.97368146195723
1572271.76 5181679.82 170.8278157199571
1572871.45 5179159.41 184.2976793774633
1570776.0 5186432.0 217.92163243336356
1569405.0 5182778.0 170.99328535207283
1571308.0 5186973.0 184.0148170139251
1571188.0 5187019.0 162.84274242562893
1578780.61 5177266.88 178.70104218741548
1571494.64 5180784.02 212.10166874855807
1572448.99 5177627.28 197.82950303777963
1748626.66 5970580.49 131.44562332799183
1573477.9 5189033.4 157.90288855976712
1572061.0 5178637.0 81.26296820991357
1570624.0 5188734.0 134.22284309617794
1569561.951614175 5182654.1807972 189.2449005882259
1452554.150754906 5298044.580901915 190.56747449969257
1571451.0693123431 5178818.118763504 153.62110289077327
1576220.33 5186151.88 
1575107.238526217 5177474.617251292 173.15950568189976
1570938.395102804 5179724.29600132 233.3839040733056
1577037.41 5184714.31 
1570696.5376977269 5181803.538702954 183.68664144837268
1762221.89 5917514.68 154.5095126269597
1568530.0 5182682.0 149.3209788281881
1570152.7864209109 5178585.00347058 138.89925648752936
1623179.661418768 5432398.344908384 
1569049.0 5182910.0 180.1031141592555
1623180.461874591 5431861.248824831 
1573362.0 5182916.0 
1575885.3608028218 5195952.169434968 190.51629436828046
1572132.0 5178891.0 147.0054335412631
1570874.269650194 5178692.593739311 160.50485399640962
1568810.0 5182183.0 211.75974417676665
1748865.0 5425929.2 165.45190087923942
1751563.0 5950294.0 143.5529200702285
1575326.112101964 5194651.724628497 189.65199589839972
1567446.0 5176944.0 163.7711733523274
1936839.3911642332 5623227.467024065 213.5573988977877
1569579.0 5181373.0 200.07120731816866
1932091.0724211482 5620231.736666387 149.28867077574182
1932374.929935239 5619985.949490404 117.9118247581079
1934294.572131559 5621190.210230818 171.15403146131416
1931103.508797493 5603607.822626215 160.43841845355647
1931311.928410179 5603635.556743573 154.93067217603723
1931540.9077686542 5603402.104830378 158.64985643397605
1576887.0570067458 5183504.021076674 194.0758217652931
1574368.949162172 5190885.109269613 
1572592.7881657 5177460.3826844385 179.93275546124616
1566603.0 5180100.0 172.05295257796354
1572940.0 5203345.5 141.31443629479102
1567518.0 5181526.0 155.3724080890289
1575478.0 5185778.0 
1753187.0 5918629.0 186.35257786059896
1753091.0 5918723.0 197.3388872595825
1563857.0 5174184.0 159.18510921799472
1563934.0 5174114.0 167.69775802505396
1570427.071904891 5180905.861426381 176.1192697925319
1569148.0 5177836.0 170.50218214494768
1572046.0 5178909.0 219.5053150856144
