"x","y","longitude","latitude","Vs30","lnMeasUncer","QualityFlag","StationID","Source","Vs30_AhdiAK_noQ3_hyb09c","stDv_AhdiAK_noQ3_hyb09c","Vs30_YongCA_noQ3","stDv_YongCA_noQ3"
1576479.57905406,5207642.17510308,172.710098311399,-43.2836734005962,224.853871,0.2,NA,NA,"McGannCPT",203.397908941125,0.217057738584898,202.125866002814,0.206820130727133
1577000.69241689,5207260.63803765,172.716505279074,-43.2871250600361,205.062093,0.2,NA,NA,"McGannCPT",200.052767262449,0.217057738584898,202.125866002814,0.206820130727133
1573314.86393042,5206268.93785193,172.671025471978,-43.2959331868876,164.721668,0.2,NA,NA,"McGannCPT",197,0.202629769603115,202.125866002814,0.206820130727133
1573807.56416365,5206001.53934174,172.677086647165,-43.2983582783657,151.653131,0.2,NA,NA,"McGannCPT",197,0.202629769603115,198.64481157494,0.205256370217328
1576829.41653268,5206766.49983923,172.714373299235,-43.2915692863102,220.532135,0.2,NA,NA,"McGannCPT",198.566264471738,0.217057738584898,202.125866002814,0.206820130727133
1568063.19504186,5205263.6197085,172.606225825792,-43.3047809571303,225.279506,0.2,NA,NA,"McGannCPT",257.606167026023,0.243194395377149,202.125866002814,0.206820130727133
1570917.22776356,5204943.92064447,172.641397825271,-43.3077753937814,185.568601,0.2,NA,NA,"McGannCPT",197,0.202629769603115,202.125866002814,0.206820130727133
1574075.15954533,5205781.64727765,172.6803752738,-43.3003475571466,160.453396,0.2,NA,NA,"McGannCPT",197,0.202629769603115,202.125866002814,0.206820130727133
1575746.00957036,5204780.93645848,172.700930559097,-43.3094141501702,199.895675,0.2,NA,NA,"McGannCPT",199.129025784672,0.217057738584898,202.125866002814,0.206820130727133
1568039.39959239,5204911.52900604,172.605911959268,-43.307950309886,227.851472,0.2,NA,NA,"McGannCPT",257.202859398141,0.243194395377149,202.125866002814,0.206820130727133
1569630.68820059,5204436.63523328,172.6255065613,-43.3122923654706,200.340039,0.2,NA,NA,"McGannCPT",197,0.202629769603115,202.125866002814,0.206820130727133
1572930.70146154,5203958.33145767,172.666175758986,-43.3167252164715,151.519777,0.2,NA,NA,"McGannCPT",197,0.202629769603115,202.125866002814,0.206820130727133
1575661.28513571,5204391.93588589,172.699868623357,-43.3129141599181,200.485175,0.2,NA,NA,"McGannCPT",201.090560461947,0.217057738584898,202.125866002814,0.206820130727133
1575674.05012316,5204382.65920191,172.700025621056,-43.312998104489,213.541741,0.2,NA,NA,"McGannCPT",201.090560461947,0.217057738584898,202.125866002814,0.206820130727133
1573064.08405569,5202588.56584162,172.667753426553,-43.329063962344,180.703172,0.2,NA,NA,"McGannCPT",197,0.202629769603115,198.64481157494,0.205256370217328
1573064.79364824,5202576.26047818,172.667761575086,-43.3291747904166,170.512606,0.2,NA,NA,"McGannCPT",197,0.202629769603115,198.64481157494,0.205256370217328
1574197.58762901,5201954.51319564,172.681704827783,-43.3348130015325,184.844792,0.2,NA,NA,"McGannCPT",197,0.202629769603115,202.125866002814,0.206820130727133
1574489.31452936,5202606.07214025,172.685333769989,-43.3289560424484,217.804233,0.2,NA,NA,"McGannCPT",197,0.202629769603115,202.125866002814,0.206820130727133
1572807.20589738,5199631.2872786,172.664438334983,-43.3556832192039,209.117564,0.2,NA,NA,"McGannCPT",190.894693626524,0.217057738584898,202.125866002814,0.206820130727133
1573821.00325556,5200060.89721339,172.67696901059,-43.3518508645744,214.869894,0.2,NA,NA,"McGannCPT",197,0.202629769603115,202.125866002814,0.206820130727133
1572831.09558712,5199409.30141594,172.66472212611,-43.3576829271765,209.660264,0.2,NA,NA,"McGannCPT",200.698402366069,0.217057738584898,202.125866002814,0.206820130727133
1573134.41353343,5197780.5303204,172.668385280298,-43.3723598845459,257.558758,0.2,NA,NA,"McGannCPT",183.062384095148,0.217057738584898,202.125866002814,0.206820130727133
1575568.11010083,5197985.21213729,172.698434258002,-43.3706000083807,196.16525,0.2,NA,NA,"McGannCPT",197,0.202629769603115,198.64481157494,0.205256370217328
